trial_id,start_at,end_at,event,clip_id,subject,run
0,672,1473,3,2_0,1,3
1,1328,2129,1,2_1,1,3
2,2000,2801,2,2_2,1,3
3,2656,3457,1,2_3,1,3
4,3328,4129,2,2_4,1,3
5,3984,4785,1,2_5,1,3
6,4656,5457,3,2_6,1,3
7,5312,6113,1,2_7,1,3
8,5984,6785,3,2_8,1,3
9,6640,7441,1,2_9,1,3
10,7312,8113,2,2_10,1,3
11,7968,8769,1,2_11,1,3
12,8640,9441,2,2_12,1,3
13,9296,10097,1,2_13,1,3
14,9968,10769,3,2_14,1,3
15,10624,11425,1,2_15,1,3
16,11296,12097,2,2_16,1,3
17,11952,12753,1,2_17,1,3
18,12624,13425,3,2_18,1,3
19,13280,14081,1,2_19,1,3
20,13952,14753,3,2_20,1,3
21,14608,15409,1,2_21,1,3
22,15280,16081,2,2_22,1,3
23,15936,16737,1,2_23,1,3
24,16608,17409,2,2_24,1,3
25,17264,18065,1,2_25,1,3
26,17936,18737,3,2_26,1,3
27,18592,19393,1,2_27,1,3
28,19264,20065,2,2_28,1,3
0,672,1473,3,3_0,1,4
1,1328,2129,1,3_1,1,4
2,2000,2801,2,3_2,1,4
3,2656,3457,1,3_3,1,4
4,3328,4129,2,3_4,1,4
5,3984,4785,1,3_5,1,4
6,4656,5457,3,3_6,1,4
7,5312,6113,1,3_7,1,4
8,5984,6785,3,3_8,1,4
9,6640,7441,1,3_9,1,4
10,7312,8113,2,3_10,1,4
11,7968,8769,1,3_11,1,4
12,8640,9441,3,3_12,1,4
13,9296,10097,1,3_13,1,4
14,9968,10769,2,3_14,1,4
15,10624,11425,1,3_15,1,4
16,11296,12097,3,3_16,1,4
17,11952,12753,1,3_17,1,4
18,12624,13425,2,3_18,1,4
19,13280,14081,1,3_19,1,4
20,13952,14753,2,3_20,1,4
21,14608,15409,1,3_21,1,4
22,15280,16081,3,3_22,1,4
23,15936,16737,1,3_23,1,4
24,16608,17409,2,3_24,1,4
25,17264,18065,1,3_25,1,4
26,17936,18737,3,3_26,1,4
27,18592,19393,1,3_27,1,4
28,19264,20065,2,3_28,1,4
0,672,1473,2,4_0,1,5
1,1328,2129,1,4_1,1,5
2,2000,2801,3,4_2,1,5
3,2656,3457,1,4_3,1,5
4,3328,4129,2,4_4,1,5
5,3984,4785,1,4_5,1,5
6,4656,5457,3,4_6,1,5
7,5312,6113,1,4_7,1,5
8,5984,6785,2,4_8,1,5
9,6640,7441,1,4_9,1,5
10,7312,8113,3,4_10,1,5
11,7968,8769,1,4_11,1,5
12,8640,9441,3,4_12,1,5
13,9296,10097,1,4_13,1,5
14,9968,10769,2,4_14,1,5
15,10624,11425,1,4_15,1,5
16,11296,12097,2,4_16,1,5
17,11952,12753,1,4_17,1,5
18,12624,13425,3,4_18,1,5
19,13280,14081,1,4_19,1,5
20,13952,14753,2,4_20,1,5
21,14608,15409,1,4_21,1,5
22,15280,16081,3,4_22,1,5
23,15936,16737,1,4_23,1,5
24,16608,17409,3,4_24,1,5
25,17264,18065,1,4_25,1,5
26,17936,18737,2,4_26,1,5
27,18592,19393,1,4_27,1,5
28,19264,20065,3,4_28,1,5
0,672,1473,2,5_0,1,6
1,1328,2129,1,5_1,1,6
2,2000,2801,3,5_2,1,6
3,2656,3457,1,5_3,1,6
4,3328,4129,3,5_4,1,6
5,3984,4785,1,5_5,1,6
6,4656,5457,2,5_6,1,6
7,5312,6113,1,5_7,1,6
8,5984,6785,3,5_8,1,6
9,6640,7441,1,5_9,1,6
10,7312,8113,2,5_10,1,6
11,7968,8769,1,5_11,1,6
12,8640,9441,2,5_12,1,6
13,9296,10097,1,5_13,1,6
14,9968,10769,3,5_14,1,6
15,10624,11425,1,5_15,1,6
16,11296,12097,3,5_16,1,6
17,11952,12753,1,5_17,1,6
18,12624,13425,2,5_18,1,6
19,13280,14081,1,5_19,1,6
20,13952,14753,2,5_20,1,6
21,14608,15409,1,5_21,1,6
22,15280,16081,3,5_22,1,6
23,15936,16737,1,5_23,1,6
24,16608,17409,3,5_24,1,6
25,17264,18065,1,5_25,1,6
26,17936,18737,2,5_26,1,6
27,18592,19393,1,5_27,1,6
28,19264,20065,2,5_28,1,6
0,672,1473,2,6_0,1,7
1,1328,2129,1,6_1,1,7
2,2000,2801,3,6_2,1,7
3,2656,3457,1,6_3,1,7
4,3328,4129,2,6_4,1,7
5,3984,4785,1,6_5,1,7
6,4656,5457,3,6_6,1,7
7,5312,6113,1,6_7,1,7
8,5984,6785,2,6_8,1,7
9,6640,7441,1,6_9,1,7
10,7312,8113,3,6_10,1,7
11,7968,8769,1,6_11,1,7
12,8640,9441,3,6_12,1,7
13,9296,10097,1,6_13,1,7
14,9968,10769,2,6_14,1,7
